Station_ID,Latitude,Longitude,LSTM_Modelling,LSTM_Prediction,CNN_Modelling,CNN_Prediction,MLP_Modelling,MLP_Prediction
3514800,3.82,-51.88,\images_new\SA\lstm\NCDC2335264-GRDC3514800_lstm_train.png,\images_new\SA\lstm\NCDC2335264-GRDC3514800_lstm_test.png,\images_new\SA\cnn\NCDC2335264-GRDC3514800_cnn_train.png,\images_new\SA\cnn\NCDC2335264-GRDC3514800_cnn_test.png,\images_new\SA\mlp\NCDC2335264-GRDC3514800_mlp_train.png,\images_new\SA\mlp\NCDC2335264-GRDC3514800_mlp_test.png
3631210,-0.4167,-53.7,\images_new\SA\lstm\NCDC2335253-GRDC3631210_lstm_train.png,\images_new\SA\lstm\NCDC2335253-GRDC3631210_lstm_test.png,\images_new\SA\cnn\NCDC2335253-GRDC3631210_cnn_train.png,\images_new\SA\cnn\NCDC2335253-GRDC3631210_cnn_test.png,\images_new\SA\mlp\NCDC2335253-GRDC3631210_mlp_train.png,\images_new\SA\mlp\NCDC2335253-GRDC3631210_mlp_test.png
3649410,-17.16667,-53.13333,\images_new\SA\lstm\NCDC2335245-GRDC3649410_lstm_train.png,\images_new\SA\lstm\NCDC2335245-GRDC3649410_lstm_test.png,\images_new\SA\cnn\NCDC2335245-GRDC3649410_cnn_train.png,\images_new\SA\cnn\NCDC2335245-GRDC3649410_cnn_test.png,\images_new\SA\mlp\NCDC2335245-GRDC3649410_mlp_train.png,\images_new\SA\mlp\NCDC2335245-GRDC3649410_mlp_test.png
3650535,-4.75,-40.07,\images_new\SA\lstm\NCDC2335231-GRDC3650535_lstm_train.png,\images_new\SA\lstm\NCDC2335231-GRDC3650535_lstm_test.png,\images_new\SA\cnn\NCDC2335231-GRDC3650535_cnn_train.png,\images_new\SA\cnn\NCDC2335231-GRDC3650535_cnn_test.png,\images_new\SA\mlp\NCDC2335231-GRDC3650535_mlp_train.png,\images_new\SA\mlp\NCDC2335231-GRDC3650535_mlp_test.png
3650765,-7.07,-38,\images_new\SA\lstm\NCDC2334315-GRDC3650765_lstm_train.png,\images_new\SA\lstm\NCDC2334315-GRDC3650765_lstm_test.png,\images_new\SA\cnn\NCDC2334315-GRDC3650765_cnn_train.png,\images_new\SA\cnn\NCDC2334315-GRDC3650765_cnn_test.png,\images_new\SA\mlp\NCDC2334315-GRDC3650765_mlp_train.png,\images_new\SA\mlp\NCDC2334315-GRDC3650765_mlp_test.png
3653181,-24.31667,-47.63333,\images_new\SA\lstm\NCDC2330946-GRDC3653181_lstm_train.png,\images_new\SA\lstm\NCDC2330946-GRDC3653181_lstm_test.png,\images_new\SA\cnn\NCDC2330946-GRDC3653181_cnn_train.png,\images_new\SA\cnn\NCDC2330946-GRDC3653181_cnn_test.png,\images_new\SA\mlp\NCDC2330946-GRDC3653181_mlp_train.png,\images_new\SA\mlp\NCDC2330946-GRDC3653181_mlp_test.png
