Station_id,River_name,Latitude,Longitude,NMI,R_Squared,MAE,RMSE,NSE,pBias
2428505,KOR RUDKHANEH-YE,30.15,52.52,0.7999275406310048,0.8704151542477436,4.994073703950813,9.232568971622289,0.8704151542477436,-21.346300388010086
2912600,OB',66.57,66.53,0.8041470868581867,0.9942222019865652,451.6922060975426,838.2833562980215,0.9942222019865652,-2.123508047831247
2260500,IRRAWADDY RIVER,21.98,96.1,0.8977771519299291,0.9840047717835029,483.7893763285751,746.7202147588525,0.9840047717835029,1.730582548778104
2469141,NGUM NAM,18.5167,102.5167,0.7978151345312446,0.9575943540489102,44.984252099103145,121.52013095089426,0.9575943540489102,-0.9979000988162161
2421200,TALURA RUDKHANEH-YE,35.854167,47.897222,0.7999166210673514,0.7267242536083329,1.7511937454402262,6.8557719135205275,0.7267242536083329,-12.036261764723363
2998451,ALAZEYA,68.5,153.42,0.7995265563937476,0.8851796423008849,4.272406920422933,16.609142823961506,0.8851796423008849,-9.766471814339232
2969200,MUN NAM,15.2217,104.8617,0.842327314890799,0.9968666150661889,26.405148693223126,48.11224467008494,0.9968666150661889,-0.3016331918071348
2912602,OB',61.06999969,68.59999847,0.734821494509224,0.9653471336938957,1451.1868713906588,1597.5948360875677,0.9653471336938957,-13.127420229598643
2469049,KHAN NAM,19.7867,102.1767,0.7586892769265233,0.6623976252258129,24.833874839440398,78.70041323375574,0.6623976252258129,-9.650526812271293
2421800,GORGAN RUDKHANEH-YE,37.258889,55.153333,0.7523861321110595,0.5311203225279857,3.145719347899824,8.180118595130791,0.5311203225279857,-25.805203099963435
2817100,AMU DARYA,42.28,59.7,0.8324779389659941,0.9686882323279005,91.03995972075751,195.93926610868905,0.9686882323279005,0.3141210191879298
2906300,BUREYA,49.78,129.92,0.7982385899157224,0.8664651696876581,185.6221177633382,440.01062629537944,0.8664651696876581,0.9478501840123263
2908101,ANGARA,58.38,97.45,0.7409763894938677,0.9174481225666297,325.54468527707,475.713747162085,0.9174481225666297,-7.529618737109675
2911100,IRTYSH,55.02000046,73.30000305,0.837211512675464,0.9909940265074565,21.750958516116935,55.50968661551375,0.9909940265074565,0.275962124419569
2906700,AMUR RIVER,48.43,135.05,0.8252068238508103,0.9956596230522621,384.05023114748803,501.65524281969084,0.9956596230522621,-2.156571414136022
2906201,SHILKA,53.42,119.97,0.8460891552966006,0.9589701895709183,67.39436421853036,145.76161179169068,0.9589701895709183,-4.569722703677719
2964122,CHAO PHRAYA MAENAM,15.6708,100.6708,0.8655075140997224,0.9957224349102825,31.88549558356943,45.549730172415714,0.9957224349102825,-0.576829384350107
2910601,OB',58.29999924,82.87999725,0.7963655854394514,0.975805178028969,573.9536595858333,611.2312717279763,0.975805178028969,-13.773919781506667
2469260,MEKONG RIVER,15.1167,105.8,0.7619191813133708,0.9821136135692135,1008.5983403994669,1283.2933984127733,0.9821136135692135,-3.428649097565086
2906900,AMUR RIVER,50.63,137.12,0.7400758866134646,0.9935869870379415,494.19206965959506,674.0813523810959,0.9935869870379415,-3.585318515330783
2964130,CHAO PHRAYA MAENAM,15.1658,100.1922,0.8108748304359056,0.994097568423458,38.90959099187016,54.76473898029576,0.994097568423458,-3.749484970149728
2969435,SAN NAM,17.4317,101.27,0.833461410626129,0.7243741962682534,2.802128168716303,8.339529744066722,0.7243741962682534,-8.12423851404904
2901300,PENZHINA,62.42,166.03,0.8790502013505368,0.9699066012435734,77.84673521978112,239.8779849564071,0.9699066012435734,4.444738916768478
2903400,TIMPTON,55.98,124.75,0.6321445341251811,0.5065608686869156,4.778627689167783,14.740441188110957,0.5065608686869156,-8.64938713104168
2969020,MEKONG RIVER,17.97825,102.435528,0.8042911060423457,0.9625116900214488,646.0739672152456,719.1802718689427,0.9625116900214488,-12.462217533857396
2903600,ALDAN,63.32,132.02,0.7764015558476461,0.979088163890091,573.2537272328991,1071.5318238312987,0.979088163890091,-4.568006086454229
2428350,ZAYANDEH RUD,32.63,51.68,0.7832780884759454,0.937629553560931,1.853166267729064,5.549265078093152,0.937629553560931,4.820714920652446
2999910,OLENEK,72.12,123.22,0.8680482610582927,0.9414618198790141,261.76352813719615,675.4328058729069,0.9414618198790141,-11.659415576002342
2261510,THAUKYEGAT CHAUNG,18.914187,96.520261,0.7028758608716852,0.926116249870058,19.50459811826342,29.98760329418325,0.926116249870058,-7.058935318587302
2903050,VITIM,57.82,114.17,0.77623948664379,0.964299943485043,181.85710879342247,379.1934530759916,0.964299943485043,-3.1354733951882623
2423350,SEZAR RUDKHANEH-YE,33.213611,48.888889,0.778486691486556,0.8587339199193742,7.566778711200867,20.272295547586335,0.8587339199193742,-10.18058448668909
2469050,MEKONG RIVER,19.8917,102.1367,0.7624885765782831,0.9641032160491267,574.3123121102335,657.123088873706,0.9641032160491267,-10.216761737803106
2919100,URAL,51.68,55.1,0.8133187387201931,0.9594483989176592,17.79390071561378,36.7890042124749,0.9594483989176592,-16.222938631664306
2911303,ISHIM,56.81999969,70.62999725,0.8296062302739712,0.99611604175185,5.214404415732099,8.39449924008759,0.99611604175185,-3.8038432197607017
2999920,OLENEK,68.62,118.33,0.8211757776874385,0.948262110387839,158.82569851985525,382.0928727197968,0.948262110387839,-9.386884878648033
2517920,VAKHSH,39.0,70.33,0.693887543617592,0.9668910093763265,37.47790919542108,51.27847709062909,0.9668910093763265,-6.046499802097532
2998510,KOLYMA,68.73,158.72,0.8252237986610388,0.986322069952319,256.32574240192776,568.8019359054049,0.986322069952319,-3.3573757733778353
